Job Ttile (Domain),Salary,Industry,Required_Skills,Job Title
Data Scientist-Transportation,"$31,969.53 ",Transportation,Python,Data Scientist
Data Scientist-Healthcare,"$45,848.73 ",Healthcare,Data Analysis,Data Scientist
Cybersecurity Analyst-Telecommunications,"$47,132.65 ",Telecommunications,Data Analysis,Cybersecurity Analyst
Data Scientist-Transportation,"$51,033.05 ",Transportation,Python,Data Scientist
Cybersecurity Analyst-Healthcare,"$51,676.66 ",Healthcare,Machine Learning,Cybersecurity Analyst
Software Engineer-Telecommunications,"$62,093.33 ",Telecommunications,Machine Learning,Software Engineer
Data Scientist-Energy,"$65,884.76 ",Energy,Data Analysis,Data Scientist
Data Scientist-Finance,"$67,722.94 ",Finance,Machine Learning,Data Scientist
AI Researcher-Energy,"$71,211.88 ",Energy,Machine Learning,AI Researcher
AI Researcher-Retail,"$71,374.65 ",Retail,Data Analysis,AI Researcher
Cybersecurity Analyst-Education,"$72,671.59 ",Education,Machine Learning,Cybersecurity Analyst
Data Scientist-Telecommunications,"$72,921.21 ",Telecommunications,Machine Learning,Data Scientist
Data Scientist-Retail,"$73,105.67 ",Retail,Machine Learning,Data Scientist
AI Researcher-Transportation,"$73,151.99 ",Transportation,Python,AI Researcher
Software Engineer-Technology,"$73,638.28 ",Technology,Data Analysis,Software Engineer
Software Engineer-Manufacturing,"$78,401.26 ",Manufacturing,Machine Learning,Software Engineer
Cybersecurity Analyst-Healthcare,"$78,548.27 ",Healthcare,Machine Learning,Cybersecurity Analyst
Software Engineer-Technology,"$84,124.07 ",Technology,Machine Learning,Software Engineer
AI Researcher-Technology,"$85,901.52 ",Technology,Python,AI Researcher
Cybersecurity Analyst-Technology,"$86,607.32 ",Technology,Machine Learning,Cybersecurity Analyst
Data Scientist-Manufacturing,"$87,747.52 ",Manufacturing,Data Analysis,Data Scientist
Cybersecurity Analyst-Manufacturing,"$89,023.81 ",Manufacturing,Python,Cybersecurity Analyst
Cybersecurity Analyst-Technology,"$91,263.58 ",Technology,Machine Learning,Cybersecurity Analyst
AI Researcher-Finance,"$91,843.59 ",Finance,Python,AI Researcher
Software Engineer-Healthcare,"$94,838.73 ",Healthcare,Python,Software Engineer
Cybersecurity Analyst-Transportation,"$97,849.30 ",Transportation,Machine Learning,Cybersecurity Analyst
Cybersecurity Analyst-Manufacturing,"$98,992.18 ",Manufacturing,Python,Cybersecurity Analyst
Software Engineer-Transportation,"$99,722.55 ",Transportation,Data Analysis,Software Engineer
Software Engineer-Healthcare,"$99,835.93 ",Healthcare,Data Analysis,Software Engineer
Data Scientist-Transportation,"$100,519.55 ",Transportation,Python,Data Scientist
AI Researcher-Education,"$100,575.36 ",Education,Data Analysis,AI Researcher
Data Scientist-Technology,"$100,933.91 ",Technology,Data Analysis,Data Scientist
Software Engineer-Telecommunications,"$103,457.72 ",Telecommunications,Python,Software Engineer
Data Scientist-Retail,"$104,747.46 ",Retail,Machine Learning,Data Scientist
AI Researcher-Transportation,"$105,366.86 ",Transportation,Python,AI Researcher
Data Scientist-Education,"$105,370.34 ",Education,Data Analysis,Data Scientist
Software Engineer-Manufacturing,"$106,800.20 ",Manufacturing,Python,Software Engineer
Data Scientist-Entertainment,"$107,155.49 ",Entertainment,Python,Data Scientist
AI Researcher-Transportation,"$110,298.38 ",Transportation,Python,AI Researcher
AI Researcher-Manufacturing,"$115,238.68 ",Manufacturing,Python,AI Researcher
AI Researcher-Healthcare,"$117,936.96 ",Healthcare,Data Analysis,AI Researcher
Data Scientist-Transportation,"$119,717.37 ",Transportation,Data Analysis,Data Scientist
Data Scientist-Education,"$129,631.58 ",Education,Python,Data Scientist
Data Scientist-Healthcare,"$148,467.11 ",Healthcare,Python,Data Scientist
